"year_day","created_by_id","premise_id","apartment_id","category_id","priority","performer_id","due_date_hours","assigned_hours","completed_hours"
1,79096,9845,616171,11162,3,4291,72,0,4
1,79096,9794,616936,11174,3,2462,72,0,3
1,79656,9316,625604,11174,3,2442,72,0,1
1,72158,9277,625144,11173,1,2442,72,0,12
1,79096,9843,767829,11174,3,8524,72,0,6219
1,79656,9350,627087,11172,3,2434,72,0,3
1,,9684,617651,17651,1,4291,,5,6357
1,46935,9754,618612,11173,3,2463,72,0,6185
1,,9682,666252,21535,2,8111,,15,6340
1,46935,9867,,18944,1,8645,,0,6341
1,79656,9277,624767,11173,3,2442,72,0,2
1,79656,9316,625604,11174,3,2442,72,0,1
1,46935,9856,622169,11154,3,8645,72,0,0
1,79096,9742,619392,11172,3,2421,72,0,6345
1,22000,9891,622000,11168,1,8645,72,0,0
1,46935,9766,618031,11173,3,2463,72,0,26
1,79096,61557,2613557,11174,3,2462,72,0,6341
2,72159,9682,666191,11170,3,4291,72,0,0
2,63551,9322,,11172,3,2434,72,0,62
2,79096,72148,2998858,11170,3,4291,72,0,6422
2,,40034,1264220,21535,2,8111,,9,6345
2,63551,9753,618647,11173,3,2463,72,0,1
2,79656,9223,624923,11173,3,2434,72,0,1
2,63551,9772,617808,11173,3,2463,72,0,1
2,63551,61570,2790249,11170,3,8524,72,0,6
2,63551,9891,2600102,18144,,8645,,0,7701
2,72159,9844,694894,11174,,2461,,21,7697
2,,9684,617420,17659,1,2463,,1,6326
2,72159,9726,620550,11173,3,2421,72,0,6657
2,79656,9335,624414,11173,3,2434,72,0,68
2,79656,9324,628385,11173,3,2442,72,0,1
2,63551,40033,,11172,3,8645,72,0,5
2,79656,9312,625737,11173,3,2434,72,0,4
2,63551,9227,625090,11173,3,2434,72,0,13
2,72159,9804,616551,11173,3,4291,72,0,6344
2,79096,9797,616916,11173,3,4291,72,0,6326
2,72159,9733,620092,18144,1,2421,,0,6345
2,63551,9753,618661,11170,3,2463,72,0,6134
2,72159,9845,616182,11173,3,4291,72,0,6347
2,79656,9218,625118,11173,3,2434,72,0,6
2,79096,9710,620670,11169,3,2421,72,0,6348
2,79096,9907,614565,11170,3,4291,72,0,6348
2,79096,9907,614620,11173,3,4291,72,0,6348
2,,9684,617420,17657,1,2463,,1,6326
2,63551,83513,1634147,11169,3,8645,72,0,3
2,63551,9859,1634147,11169,3,8645,72,0,3
2,79096,9845,616197,11172,3,4291,72,0,6348
2,79096,9907,614537,11170,3,4291,72,0,6349
2,63551,9753,618652,11174,3,2463,72,0,6555
2,79096,9903,616968,11173,3,4291,72,0,366
3,22000,9836,614513,11189,1,4291,72,1,1
3,72158,9653,623217,11189,1,8645,72,0,7675
3,71469,9835,614695,11173,3,4291,72,0,5
3,71469,9748,619210,11169,3,2421,72,0,6640
3,72158,9299,624412,11174,3,2442,72,0,140
3,72158,9192,628131,11175,3,2434,72,0,2
3,72158,9329,627175,11174,3,2442,72,0,6
3,72158,61586,2618098,11189,1,8524,72,0,5769
3,72158,9299,624412,11173,3,2442,72,0,1
3,72158,9767,617920,11175,3,2463,72,0,6139
3,22000,9866,622465,11189,1,8645,72,0,0
3,72158,9766,617959,11190,1,2463,72,0,6069
3,72158,61561,2617722,11174,3,8524,72,0,5763
3,22000,9866,622465,11189,1,8645,72,0,0
3,72158,72786,2993222,11174,3,7857,72,0,1
3,71469,9835,614689,11173,3,4291,72,0,135
3,22000,9866,622465,11144,1,8645,72,0,0
3,72158,9760,618357,11173,3,2463,,0,6109
3,22000,9866,622465,11189,1,8645,72,0,0
3,71469,9682,666280,11170,3,4291,72,0,1177
3,22000,9653,623217,11144,1,8645,72,0,0
3,22000,9742,619317,11169,1,2421,72,9277,4
3,71469,9903,616988,11173,3,4291,72,0,1
3,72158,9334,625735,11173,1,2442,72,0,8
3,71469,9802,616769,11173,3,4291,72,0,3747
3,63551,9752,618749,11170,3,2463,72,0,6145
3,71469,9904,616590,11173,3,4291,72,0,3748
3,72158,61570,2790249,11170,1,8524,72,0,335
3,,9682,666314,17658,1,4291,,1,1
3,72158,9859,622086,11174,3,8645,72,0,7673
3,72158,83513,622086,11174,3,8645,72,0,7673
3,72158,9311,624813,11172,3,2442,72,0,0
3,22000,9835,614690,11189,1,4291,72,0,106
3,72158,9180,627267,11174,3,2442,72,0,136
3,72158,9319,624377,11174,1,2442,72,0,135
3,72158,9653,623118,11190,1,8645,72,0,13
3,72158,9859,1634147,11169,3,8645,72,0,7678
3,72158,83513,1634147,11169,3,8645,72,0,7678
3,,40034,1264275,21535,2,8111,,9,7673
3,72158,9865,773111,11170,3,8645,72,0,7680
3,71469,9822,615577,11162,1,4291,72,0,7681
3,71469,9841,614288,18944,,4291,,0,7684
3,,40034,1264232,21535,2,8111,,8,7672
3,72158,9871,622896,11170,3,8645,72,0,7672
3,71469,9832,615023,11189,3,4291,72,0,7676
3,71469,9814,615676,11162,3,4291,72,0,7677
3,72158,9865,848893,11170,3,8645,72,0,7677
3,71469,9895,615844,11173,3,4291,72,0,7678
3,72158,9671,624219,11149,3,2418,72,0,7678
3,71469,9834,614753,18944,1,8524,,0,6177
3,71469,9844,694914,11173,3,4291,72,0,991
3,72158,9762,618280,11173,3,2463,72,0,6142
3,72158,9761,618310,11173,3,2463,72,0,675
4,72159,9727,620499,18944,1,2421,,0,6614
4,72159,9784,617292,11173,3,4291,72,0,3729
4,46935,9649,622786,11161,3,2462,72,0,7663
